iter	Logloss
0	0.5404697659
1	0.4403458548
2	0.3801684489
3	0.3283714619
4	0.297776606
5	0.2755140073
6	0.2565550577
7	0.2445697352
8	0.234165368
9	0.223664173
10	0.2156058879
11	0.2093686047
12	0.2047531641
13	0.2004285732
14	0.1966330399
15	0.192798298
16	0.190145395
17	0.1879219028
18	0.1856856916
19	0.1834276878
20	0.1818534035
21	0.1803546452
22	0.1791078912
23	0.1776390956
24	0.176327239
25	0.1753595516
26	0.1743323883
27	0.1734234808
28	0.1725447455
29	0.1717996389
30	0.1710834533
31	0.1703998391
32	0.1697958986
33	0.168941807
34	0.1684481845
35	0.1677829694
36	0.1673528172
37	0.1667949703
38	0.1663777372
39	0.1659699375
40	0.1655161024
41	0.1651488848
42	0.1647339392
43	0.164325982
44	0.1639855574
45	0.1637394238
46	0.1634469424
47	0.1631514605
48	0.1628917973
49	0.1625740936
50	0.1623290581
51	0.1621205365
52	0.1619122153
53	0.1616832783
54	0.1613286582
55	0.1610780867
56	0.1609020564
57	0.1607324504
58	0.1605502309
59	0.1603982707
60	0.160235256
61	0.1601258219
62	0.1600020949
63	0.1598903613
64	0.1597463401
65	0.1595320544
66	0.159403016
67	0.1592882903
68	0.1591508737
69	0.159065595
70	0.1589486763
71	0.1588539902
72	0.1587102746
73	0.1586279108
74	0.1585406951
75	0.1584608427
76	0.1583626676
77	0.1582454156
78	0.1581488431
79	0.1580550497
80	0.1579844542
81	0.1579106211
82	0.1578194145
83	0.1577405045
84	0.1576599428
85	0.1575859244
86	0.1575269542
87	0.1574411587
88	0.1573786565
89	0.1573264961
90	0.1572778974
91	0.1572327972
92	0.1571602023
93	0.1571098181
94	0.1570576235
95	0.1569926304
96	0.1569458935
97	0.1569039442
98	0.1568433596
99	0.1568143754
100	0.1567590531
101	0.156679878
102	0.1566342715
103	0.1565827815
104	0.1565430166
105	0.1564435124
106	0.156402853
107	0.156332214
108	0.1562527897
109	0.1562000296
110	0.1561713767
111	0.1561264457
112	0.1560722491
113	0.1560240287
114	0.1559879675
115	0.1559418666
116	0.1559054964
117	0.155835985
118	0.1557943706
119	0.155755003
120	0.1557105681
121	0.1556770161
122	0.1556389903
123	0.1556087476
124	0.1555315188
125	0.1554950377
126	0.1554575947
127	0.1554267674
128	0.1553715248
129	0.1553394056
130	0.1553357174
131	0.1553346404
132	0.1553037331
133	0.1553027436
134	0.155265307
135	0.1552337089
136	0.1552328055
137	0.1551925834
138	0.1551917154
139	0.1551528238
140	0.1551261233
141	0.1550817879
142	0.1550508378
143	0.1550248681
144	0.1550028029
145	0.154971801
146	0.1549451549
147	0.1549147623
148	0.1548896807
149	0.1548889256
150	0.1548532871
151	0.1548149951
152	0.1548144395
153	0.1547506996
154	0.154720328
155	0.1547043577
156	0.1546553444
157	0.1546225782
158	0.1545770213
159	0.1545588278
160	0.1545581594
161	0.1545331633
162	0.1545097942
163	0.1545091258
164	0.1544794014
165	0.1544479839
166	0.1544212462
167	0.1543883748
168	0.1543648059
169	0.1543641983
170	0.1543424427
171	0.1543087971
172	0.1543082241
173	0.1542820107
174	0.1542501612
175	0.1541999913
176	0.1541631453
177	0.1541517947
178	0.1541299259
179	0.1540999008
180	0.1540798442
181	0.1540793233
182	0.1540600475
183	0.1540596048
184	0.1540407158
185	0.1540225209
186	0.1540109318
187	0.1539834029
188	0.1539712596
189	0.1539708256
190	0.1539484639
191	0.1539087712
192	0.1538871524
193	0.1538622591
194	0.1538399013
195	0.153814898
196	0.1538145507
197	0.1537984093
198	0.1537792913
199	0.1537569174
200	0.1537365492
201	0.1537362366
202	0.1537088802
203	0.1536997123
204	0.1536993997
205	0.153683405
206	0.1536558923
207	0.1536335638
208	0.1536120998
209	0.1535926752
210	0.1535743917
211	0.1535577299
212	0.1535453118
213	0.1535449473
214	0.1535353317
215	0.1535142977
216	0.1534738646
217	0.1534425741
218	0.153417607
219	0.1534173985
220	0.1533986469
221	0.153385808
222	0.153369558
223	0.1533442145
224	0.1533439541
225	0.1533303548
226	0.1533049378
227	0.153276608
228	0.1532763302
229	0.1532497313
230	0.1532380861
231	0.1532154874
232	0.1531997064
233	0.1531993941
234	0.1531761559
235	0.153164442
236	0.1531427162
237	0.1531197735
238	0.1530650934
239	0.1530482909
240	0.1530128623
241	0.1530125584
242	0.1529968549
243	0.1529873014
244	0.1529572231
245	0.1529383456
246	0.152911938
247	0.152895254
248	0.1528951497
249	0.1528899514
250	0.1528729886
251	0.1528563499
252	0.1528315482
253	0.1528188718
254	0.1528124515
255	0.1527939553
256	0.1527754077
257	0.1527752427
258	0.1527620628
259	0.1527620193
260	0.1527529321
261	0.1527449377
262	0.1527439292
263	0.152718782
264	0.1526924611
265	0.1526695745
266	0.1526496181
267	0.1526486531
268	0.1526205217
269	0.1526197128
270	0.1526067877
271	0.1525930268
272	0.152551259
273	0.1525340792
274	0.1525083113
275	0.1524864046
276	0.152458501
277	0.152442343
278	0.1524228551
279	0.1524000153
280	0.1523932562
281	0.1523863151
282	0.1523635315
283	0.1523633231
284	0.1523416461
285	0.1523243055
286	0.1523054107
287	0.1522822291
288	0.1522606639
289	0.1522471805
290	0.1522171796
291	0.1521773833
292	0.1521586331
293	0.1521584247
294	0.1521317233
295	0.1521088192
296	0.1521015202
297	0.1521004684
298	0.1520655287
299	0.1520647286
